intent,text,entity 1 name,entity 1 start,entity 1 end,entity 1 value,entity 2 name,entity 2 start,entity 2 end,entity 2 value,entity 3 name,entity 3 start,entity 3 end,entity 3 value
how-works?,how does it work?,,,,,,,,,,,,
how-works?,how do you work?,,,,,,,,,,,,
how-works?,what can I do?,,,,,,,,,,,,
how-works?,what commands do you support?,,,,,,,,,,,,
how-works?,who are you?,,,,,,,,,,,,
how-works?,how does all of this work?,,,,,,,,,,,,
how-works?,what do I do?,,,,,,,,,,,,
how-works?,what do you sell?,,,,,,,,,,,,
how-works?,who are you?,,,,,,,,,,,,
how-works?,I can't understand you,,,,,,,,,,,,
greeting,hello,,,,,,,,,,,,
greeting,hey,,,,,,,,,,,,
greeting,sup,,,,,,,,,,,,
greeting,hi,,,,,,,,,,,,
greeting,greetings,,,,,,,,,,,,
greeting,start,,,,,,,,,,,,
greeting,get started,,,,,,,,,,,,
greeting,begin,,,,,,,,,,,,
greeting,hey hey,,,,,,,,,,,,
greeting,hi there,,,,,,,,,,,,
greeting,yo,,,,,,,,,,,,
greeting,good morning,,,,,,,,,,,,
greeting,good afternoon,,,,,,,,,,,,
greeting,good day,,,,,,,,,,,,
greeting,good evening,,,,,,,,,,,,
need-help,help,,,,,,,,,,,,
need-help,I'm confused,,,,,,,,,,,,
need-help,what do I do?,,,,,,,,,,,,
need-help,I need help,,,,,,,,,,,,
need-help,need help,,,,,,,,,,,,
need-help,what do I do next?,,,,,,,,,,,,
need-help,huh?,,,,,,,,,,,,
need-help,can I talk to someone?,,,,,,,,,,,,
need-help,customer support,,,,,,,,,,,,
need-help,need support,,,,,,,,,,,,
need-help,tech support,,,,,,,,,,,,
need-help,what?,,,,,,,,,,,,
tell-me-about,tell me about gin,taste,13,16,gin,,,,,,,,
tell-me-about,what's gin,taste,7,10,gin,,,,,,,,
tell-me-about,how is gin made,taste,7,10,gin,,,,,,,,
tell-me-about,what is gin,taste,8,11,gin,,,,,,,,
tell-me-about,more info on gin,taste,13,16,gin,,,,,,,,
tell-me-about,tell me about vodka,taste,13,18,vodka,,,,,,,,
tell-me-about,what's vodka,taste,7,12,vodka,,,,,,,,
tell-me-about,how is vodka made,taste,7,12,vodka,,,,,,,,
tell-me-about,what is vodka,taste,8,13,vodka,,,,,,,,
tell-me-about,more info on vodka,taste,13,18,vodka,,,,,,,,
tell-me-about,tell me about whiskey,taste,13,20,whiskey,,,,,,,,
tell-me-about,what's whiskey,taste,7,14,whiskey,,,,,,,,
tell-me-about,how is whiskey made,taste,7,14,whiskey,,,,,,,,
tell-me-about,what is whiskey,taste,8,15,whiskey,,,,,,,,
tell-me-about,more info on whiskey,taste,13,20,whiskey,,,,,,,,
tell-me-about,tell me about bourbon,taste,13,20,bourbon,,,,,,,,
tell-me-about,what's bourbon,taste,7,14,bourbon,,,,,,,,
tell-me-about,how is bourbon made,taste,7,14,bourbon,,,,,,,,
tell-me-about,what is bourbon,taste,8,15,bourbon,,,,,,,,
tell-me-about,more info on bourbon,taste,13,20,bourbon,,,,,,,,
tell-me-about,tell me about tequilla,taste,13,21,tequilla,,,,,,,,
tell-me-about,what's tequilla,taste,7,15,tequilla,,,,,,,,
tell-me-about,how is tequilla made,taste,7,15,tequilla,,,,,,,,
tell-me-about,what is tequilla,taste,8,16,tequilla,,,,,,,,
tell-me-about,more info on tequilla,taste,13,21,tequilla,,,,,,,,
tell-me-about,tell me about beer,taste,13,17,beer,,,,,,,,
tell-me-about,what's beer,taste,7,11,beer,,,,,,,,
tell-me-about,how is beer made,taste,7,11,beer,,,,,,,,
tell-me-about,what is beer,taste,8,12,beer,,,,,,,,
tell-me-about,more info on beer,taste,13,17,beer,,,,,,,,
tell-me-about,tell me about wine,taste,13,17,wine,,,,,,,,
tell-me-about,what's wine,taste,7,11,wine,,,,,,,,
tell-me-about,how is wine made,taste,7,11,wine,,,,,,,,
tell-me-about,what is wine,taste,8,12,wine,,,,,,,,
tell-me-about,more info on wine,taste,13,17,wine,,,,,,,,